sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_name
7.29,3.64,6.15,2.58,virginica
6.53,3.27,5.17,2.09,virginica
6.44,2.78,5.35,1.95,virginica
6.82,3.03,5.58,2.12,virginica
5.77,2.52,5.04,2.06,virginica
5.82,2.85,5.17,2.44,virginica
6.42,3.23,5.37,2.36,virginica
6.53,3.03,5.57,1.82,virginica
7.74,3.88,6.73,2.27,virginica
7.75,2.65,6.97,2.35,virginica
6.08,2.25,5.03,1.57,virginica
6.97,3.22,5.73,2.33,virginica
5.68,2.88,4.93,2.09,virginica
7.78,2.86,6.73,2.04,virginica
6.39,2.71,4.97,1.86,virginica
6.77,3.32,5.77,2.19,virginica
7.26,3.25,6.02,1.85,virginica
6.23,2.86,4.84,1.86,virginica
6.14,3.04,4.98,1.84,virginica
6.43,2.81,5.62,2.13,virginica
7.25,3.06,5.84,1.68,virginica
7.42,2.87,6.15,1.96,virginica
7.98,3.82,6.43,2.04,virginica
6.49,2.84,5.64,2.25,virginica
6.37,2.81,5.18,1.57,virginica
6.11,2.68,5.68,1.42,virginica
7.76,3.07,6.18,2.33,virginica
6.37,3.45,5.67,2.44,virginica
6.42,3.14,5.55,1.88,virginica
6.05,3.03,4.89,1.87,virginica
6.91,3.14,5.45,2.18,virginica
6.79,3.14,5.62,2.43,virginica
6.91,3.14,5.16,2.38,virginica
5.83,2.77,5.13,1.91,virginica
6.83,3.25,5.93,2.37,virginica
6.79,3.34,5.74,2.56,virginica
6.76,3.02,5.24,2.33,virginica
6.33,2.55,5.03,1.94,virginica
6.55,3.02,5.25,2.05,virginica
6.26,3.45,5.46,2.35,virginica
5.95,3.07,5.15,1.86,virginica
6.45,3.12,4.53,1.84,virginica
6.08,2.70,5.46,1.88,virginica
6.93,3.17,6.53,2.10,virginica
5.98,3.25,5.00,1.75,virginica
6.51,3.01,4.82,1.88,virginica
6.69,3.11,5.72,2.17,virginica
5.14,2.39,4.87,1.63,virginica
6.63,3.18,5.40,2.26,virginica
6.63,3.25,6.19,2.47,virginica
6.70,3.49,5.44,2.51,virginica
6.27,3.12,4.96,1.99,virginica
6.57,3.40,5.45,2.26,virginica
7.45,3.17,5.34,2.44,virginica
7.02,3.35,5.68,1.75,virginica
5.78,2.76,4.99,2.13,virginica
6.43,2.81,5.06,1.90,virginica
5.91,2.84,5.19,2.22,virginica
6.43,3.22,5.06,2.37,virginica
6.39,3.22,5.94,2.65,virginica
7.19,3.20,5.76,1.70,virginica
5.92,2.85,4.93,1.97,virginica
6.89,2.93,5.15,2.12,virginica
6.97,3.30,6.22,2.48,virginica
6.78,2.93,5.72,2.11,virginica
6.34,2.92,4.91,1.78,virginica
6.18,2.69,5.29,1.89,virginica
6.17,3.06,5.56,2.09,virginica
6.32,2.59,5.00,2.16,virginica
6.40,2.85,5.49,1.83,virginica
6.23,3.07,5.33,1.63,virginica
5.80,2.98,4.76,2.02,virginica
8.21,2.70,7.12,2.28,virginica
6.98,3.08,5.98,2.09,virginica
6.00,2.95,5.07,1.68,virginica
7.07,3.43,6.57,2.55,virginica
6.70,2.75,6.08,2.04,virginica
6.37,2.64,5.33,1.84,virginica
6.57,3.01,5.28,1.97,virginica
6.36,2.72,5.80,2.29,virginica
5.83,2.50,5.01,2.19,virginica
7.66,2.85,6.04,1.60,virginica
6.46,3.14,5.62,1.85,virginica
6.05,3.22,5.26,2.57,virginica
8.01,2.68,6.96,2.57,virginica
7.09,3.18,5.35,2.35,virginica
6.50,2.98,5.26,1.85,virginica
6.85,2.91,5.39,1.89,virginica
6.48,2.88,5.96,1.79,virginica
6.97,3.07,5.58,1.84,virginica
7.48,3.31,6.04,2.36,virginica
7.10,3.13,6.29,2.36,virginica
6.04,2.65,5.40,1.60,virginica
6.65,3.64,5.60,2.13,virginica
5.84,2.51,4.74,2.04,virginica
6.84,3.29,6.10,2.53,virginica
7.38,2.52,6.62,2.27,virginica
6.52,2.86,5.99,1.98,virginica
7.65,2.95,6.27,1.85,virginica
6.70,3.01,5.97,1.81,virginica
7.79,3.61,6.40,2.45,virginica
6.71,2.83,4.55,1.88,virginica
6.25,2.93,5.03,1.89,virginica
7.57,3.04,6.06,1.80,virginica
7.92,2.80,6.30,2.29,virginica
7.03,3.00,5.97,2.54,virginica
7.80,2.87,6.15,2.20,virginica
6.85,3.34,6.01,2.23,virginica
7.59,3.09,6.13,1.97,virginica
7.07,3.16,5.43,2.32,virginica
6.46,2.51,4.99,1.77,virginica
6.69,3.53,6.07,2.68,virginica
6.17,2.82,4.99,1.71,virginica
6.53,3.09,4.74,1.61,virginica
4.78,2.71,4.82,1.63,virginica
6.55,2.82,5.95,2.34,virginica
7.18,3.24,5.82,2.36,virginica
6.51,3.46,6.01,2.09,virginica
6.37,2.95,6.08,1.89,virginica
7.20,2.99,6.86,2.11,virginica
6.71,3.28,5.55,2.37,virginica
6.80,3.17,5.97,2.60,virginica
6.63,2.99,5.54,1.99,virginica
6.16,2.99,5.38,2.16,virginica
6.17,2.74,5.07,2.00,virginica
6.24,2.77,4.97,1.75,virginica
7.91,2.79,6.79,2.16,virginica
5.95,3.37,5.76,2.18,virginica
5.78,2.96,5.00,2.13,virginica
6.10,2.82,5.53,1.91,virginica
6.39,2.77,4.68,1.74,virginica
7.64,3.15,6.50,1.67,virginica
7.59,3.56,6.72,2.17,virginica
7.08,3.10,5.16,2.03,virginica
7.27,3.18,6.20,2.23,virginica
8.21,2.80,6.42,1.93,virginica
7.23,3.33,6.20,2.39,virginica
6.32,2.97,5.83,2.34,virginica
7.02,3.13,5.99,2.55,virginica
7.84,3.09,6.45,2.17,virginica
6.51,2.70,5.36,1.85,virginica
6.62,3.41,5.51,2.34,virginica
7.12,3.20,5.71,2.61,virginica
6.35,2.87,5.54,2.14,virginica
6.35,3.06,5.31,1.95,virginica
6.51,3.35,5.91,2.39,virginica
7.95,3.86,6.67,2.37,virginica
7.63,2.86,6.78,2.33,virginica
6.52,3.06,5.33,1.67,virginica
6.64,3.16,5.08,1.78,virginica
6.86,3.31,6.06,1.97,virginica
6.75,2.93,5.25,2.01,virginica
6.51,2.74,5.27,1.95,virginica
5.91,2.71,5.22,2.06,virginica
6.22,3.09,5.54,2.38,virginica
6.42,2.91,5.48,2.21,virginica
7.61,2.89,5.99,1.84,virginica
8.10,2.88,7.10,2.27,virginica
5.54,2.82,5.12,1.96,virginica
7.72,3.45,6.38,2.47,virginica
6.94,2.89,5.20,2.05,virginica
8.40,4.04,6.91,1.95,virginica
6.34,2.79,4.54,1.75,virginica
7.27,3.23,6.03,1.76,virginica
5.82,3.00,5.19,2.16,virginica
7.08,3.10,5.96,2.37,virginica
7.45,3.09,5.89,2.29,virginica
7.01,3.15,6.25,1.95,virginica
6.45,2.79,5.82,2.11,virginica
6.51,3.45,6.08,2.22,virginica
7.17,3.31,6.02,2.21,virginica
6.70,3.19,4.89,2.07,virginica
6.61,2.65,5.50,1.74,virginica
6.64,3.21,6.21,2.36,virginica
6.50,2.92,5.58,2.18,virginica
6.10,2.82,4.99,1.90,virginica
7.29,3.13,5.60,2.04,virginica
6.14,2.70,5.24,2.12,virginica
7.53,3.28,6.62,2.20,virginica
6.89,3.10,6.12,2.39,virginica
8.38,3.89,6.39,2.20,virginica
6.94,2.86,5.37,2.06,virginica
6.35,3.17,5.49,2.06,virginica
6.67,3.27,5.84,2.41,virginica
7.79,3.56,6.75,2.00,virginica
6.89,3.21,5.72,2.40,virginica
6.04,2.88,4.65,2.03,virginica
6.81,2.43,4.87,1.85,virginica
7.08,3.07,5.34,2.16,virginica
6.60,2.96,5.90,1.93,virginica
7.06,3.04,5.09,2.36,virginica
7.01,3.48,6.19,2.58,virginica
6.21,3.20,4.94,2.17,virginica
6.90,3.32,4.93,2.22,virginica
7.54,3.03,5.77,2.42,virginica
7.20,3.11,6.33,1.94,virginica
6.76,3.15,5.04,2.36,virginica
7.18,2.95,6.56,1.83,virginica
6.26,2.99,5.99,1.70,virginica
7.89,3.02,6.15,2.09,virginica
6.46,2.77,6.17,2.09,virginica
8.18,3.78,6.36,2.09,virginica
6.41,2.80,5.73,1.86,virginica
6.94,3.07,6.15,2.41,virginica
6.39,2.48,5.39,1.86,virginica
6.42,3.28,5.50,2.39,virginica
7.02,3.20,5.35,2.43,virginica
6.67,2.96,5.46,2.41,virginica
6.21,3.09,5.45,1.60,virginica
6.17,3.15,5.49,2.50,virginica
6.03,2.52,5.28,2.03,virginica
6.36,3.03,5.92,2.00,virginica
6.13,3.44,5.80,2.40,virginica
6.72,2.93,5.26,2.38,virginica
6.78,3.41,6.00,1.82,virginica
8.36,3.15,6.66,2.40,virginica
6.13,2.87,5.41,2.14,virginica
7.28,3.22,6.00,2.28,virginica
7.86,2.79,6.40,1.93,virginica
6.26,2.86,4.98,1.97,virginica
5.96,2.80,5.08,2.07,virginica
7.48,2.97,6.04,2.08,virginica
6.61,3.04,5.42,2.14,virginica
6.59,2.81,5.29,1.78,virginica
6.98,3.31,5.92,2.24,virginica
6.69,3.34,5.97,2.54,virginica
6.42,3.36,5.94,2.28,virginica
6.15,2.86,5.30,1.81,virginica
7.05,2.87,5.61,2.16,virginica
7.32,3.16,5.86,2.21,virginica
6.34,2.99,5.59,1.91,virginica
7.93,3.11,6.85,1.81,virginica
6.45,3.10,4.96,1.54,virginica
7.02,3.32,5.29,1.98,virginica
5.63,2.64,4.39,1.76,virginica
6.26,2.85,5.14,2.12,virginica
7.42,3.21,6.08,1.68,virginica
6.38,3.08,5.20,2.37,virginica
6.80,3.35,6.11,2.28,virginica
6.73,3.38,6.15,2.44,virginica
5.84,3.02,5.29,2.03,virginica
8.05,2.95,6.45,1.94,virginica
6.77,3.26,5.50,1.89,virginica
7.40,3.00,6.61,2.20,virginica
6.08,3.28,5.09,1.70,virginica
6.91,3.21,5.78,2.24,virginica
6.89,3.16,6.25,2.64,virginica
6.63,3.42,6.19,2.22,virginica
6.54,2.89,5.62,1.79,virginica
6.80,2.88,4.93,1.91,virginica
7.64,3.31,5.86,1.65,virginica
7.30,3.20,6.21,1.85,virginica
6.80,3.35,5.76,2.61,virginica
6.92,3.18,5.39,2.23,virginica
6.52,3.15,5.43,1.88,virginica
6.15,2.92,5.49,2.10,virginica
6.93,3.45,6.04,2.16,virginica
6.79,3.33,5.15,2.13,virginica
6.06,2.76,5.19,2.18,virginica
5.96,3.60,5.64,2.19,virginica
6.30,3.34,5.41,2.05,virginica
6.68,2.96,5.39,1.92,virginica
6.68,3.25,5.24,1.71,virginica
7.35,2.96,6.21,1.55,virginica
6.35,2.96,5.12,1.80,virginica
7.89,2.93,6.17,2.15,virginica
7.10,2.95,5.03,2.44,virginica
6.37,3.10,5.18,1.74,virginica
6.32,3.02,5.37,1.77,virginica
6.35,2.79,6.09,1.97,virginica
5.40,2.78,5.05,1.93,virginica
6.65,2.95,5.65,2.08,virginica
6.58,2.59,5.25,2.07,virginica
6.80,2.90,5.75,2.09,virginica
7.43,2.99,6.59,2.30,virginica
6.76,2.95,6.01,2.19,virginica
6.70,3.02,5.57,1.85,virginica
6.86,2.92,5.45,2.33,virginica
7.42,3.51,6.14,2.49,virginica
7.09,3.45,5.70,2.36,virginica
6.99,2.78,5.29,1.65,virginica
5.24,2.85,4.37,1.67,virginica
6.06,3.11,5.36,1.87,virginica
7.07,3.17,5.07,1.96,virginica
7.23,2.90,6.07,1.83,virginica
7.69,2.93,6.46,2.04,virginica
6.41,3.23,4.81,2.06,virginica
6.66,2.89,5.06,2.17,virginica
6.01,2.86,4.78,1.67,virginica
6.69,2.71,6.06,2.40,virginica
5.56,2.60,5.50,2.29,virginica
5.59,2.82,5.22,1.84,virginica
8.26,2.87,6.29,2.15,virginica
6.47,3.17,5.66,2.26,virginica
6.39,3.27,5.10,1.98,virginica
6.81,3.16,6.06,2.77,virginica
7.45,3.04,6.33,1.76,virginica
6.63,3.31,6.16,2.22,virginica
5.56,2.39,5.28,1.80,virginica
5.72,2.68,5.16,1.84,virginica
7.08,3.38,6.26,2.65,virginica
7.06,3.17,6.02,1.87,virginica
7.21,3.16,5.64,2.53,virginica
7.14,3.29,5.89,1.86,virginica
5.95,2.52,4.77,1.41,virginica
7.06,3.45,5.83,2.00,virginica
7.48,2.99,6.07,1.96,virginica
6.85,2.95,5.17,2.12,virginica
6.67,3.10,5.80,1.97,virginica
6.58,2.84,4.81,1.83,virginica
6.87,3.36,6.11,2.43,virginica
6.33,3.30,5.20,1.94,virginica
7.76,2.95,6.07,1.96,virginica
8.03,2.97,7.09,2.09,virginica
7.69,2.80,5.89,1.69,virginica
6.09,2.45,5.13,1.76,virginica
7.60,3.00,7.23,2.15,virginica
8.21,3.80,6.33,1.91,virginica
6.73,2.73,5.44,1.92,virginica
6.46,3.17,5.46,2.70,virginica
6.81,3.23,5.57,1.86,virginica
5.67,2.99,5.46,1.88,virginica
7.01,3.55,5.75,2.52,virginica
6.70,3.34,5.70,2.38,virginica
7.27,3.48,6.27,2.46,virginica
6.35,2.96,5.89,1.95,virginica
5.58,2.59,4.92,1.97,virginica
6.79,2.85,5.76,1.86,virginica
5.83,2.91,5.16,2.05,virginica
6.42,3.07,5.23,2.04,virginica
6.65,2.75,4.80,1.55,virginica
6.06,3.04,5.34,2.07,virginica
6.44,2.82,5.49,2.03,virginica
6.77,3.35,6.15,2.46,virginica
6.42,2.98,5.48,1.84,virginica
7.42,3.13,6.89,1.97,virginica
5.03,2.82,5.06,1.90,virginica
6.19,2.93,5.94,1.66,virginica
6.76,2.94,5.50,2.14,virginica
6.40,3.39,5.53,2.21,virginica
6.51,3.01,4.79,1.73,virginica
6.34,2.79,5.27,1.84,virginica
6.97,3.11,4.96,1.95,virginica
6.44,3.32,6.15,2.62,virginica
7.33,2.80,6.56,1.95,virginica
6.44,2.99,5.46,2.04,virginica
5.99,2.27,5.31,1.75,virginica
6.54,2.73,5.26,1.89,virginica
6.61,3.18,5.68,2.38,virginica
6.85,2.82,5.31,1.80,virginica
6.13,2.84,5.14,2.11,virginica
6.32,2.55,5.03,2.26,virginica
5.97,2.82,4.85,2.14,virginica
6.96,3.46,5.90,2.39,virginica
6.25,2.57,5.63,2.17,virginica
5.90,2.81,5.14,2.12,virginica
6.45,3.02,5.17,1.96,virginica
6.33,3.38,6.04,2.53,virginica
6.78,3.30,6.46,2.60,virginica
8.03,2.89,6.54,1.99,virginica
5.57,3.01,4.89,1.96,virginica
7.12,3.11,6.23,2.17,virginica
6.46,3.20,4.86,1.69,virginica
8.15,3.94,6.75,2.20,virginica
7.51,3.24,6.19,2.08,virginica
7.69,3.20,6.28,2.15,virginica
6.78,3.11,5.32,2.16,virginica
7.46,3.06,6.56,1.65,virginica
6.52,2.59,5.89,1.74,virginica
6.40,3.58,5.07,2.26,virginica
7.67,3.26,5.96,2.41,virginica
6.66,2.72,5.64,1.97,virginica
7.24,2.88,5.87,1.77,virginica
7.30,3.04,5.65,2.31,virginica
7.85,4.11,6.76,1.89,virginica
7.11,3.25,5.58,2.54,virginica
6.91,3.42,5.74,2.65,virginica
6.74,3.05,5.56,2.01,virginica
7.65,3.70,6.76,2.36,virginica
6.33,2.73,5.91,2.00,virginica
6.20,3.12,5.11,2.04,virginica
6.34,3.07,5.10,2.00,virginica
6.94,2.97,5.50,2.32,virginica
6.64,2.93,4.88,2.03,virginica
8.21,3.05,6.48,2.34,virginica
7.27,3.07,6.18,2.33,virginica
5.50,3.01,5.38,1.92,virginica
6.77,2.71,5.14,2.09,virginica
7.75,3.49,6.65,2.38,virginica
7.96,2.77,6.12,2.22,virginica
7.77,3.27,6.20,1.93,virginica
6.59,3.51,6.12,2.41,virginica
7.28,3.22,6.52,2.00,virginica
6.91,3.07,5.00,1.99,virginica
6.79,3.32,5.13,2.18,virginica
7.14,3.20,6.22,2.32,virginica
6.86,2.77,5.63,1.87,virginica
6.72,3.55,5.70,2.45,virginica
6.77,3.45,5.58,2.32,virginica
6.56,2.77,5.15,1.85,virginica
6.95,3.34,5.75,2.12,virginica
6.24,2.65,5.89,2.16,virginica
6.39,2.59,4.85,1.92,virginica
6.65,3.28,5.69,2.56,virginica
6.43,2.98,5.17,1.60,virginica
6.07,2.74,4.91,1.89,virginica
6.62,3.17,5.68,2.27,virginica
6.99,2.97,5.52,2.27,virginica
6.75,2.79,4.63,1.94,virginica
6.38,3.30,6.15,2.39,virginica
6.94,3.59,6.06,2.39,virginica
6.75,3.50,5.56,2.60,virginica
6.41,3.08,5.46,1.89,virginica
8.09,2.98,6.22,2.24,virginica
7.43,2.83,6.46,1.76,virginica
7.01,3.35,5.43,2.38,virginica
6.03,2.80,5.35,1.85,virginica
6.14,2.70,5.50,2.06,virginica
6.40,3.19,5.63,2.23,virginica
7.06,3.21,4.88,2.36,virginica
7.56,2.84,7.07,2.36,virginica
6.42,2.87,5.05,1.99,virginica
6.76,3.14,5.50,2.19,virginica
7.85,2.94,5.88,2.35,virginica
6.44,2.18,5.50,1.65,virginica
7.59,2.90,6.25,2.19,virginica
6.58,2.85,5.83,1.97,virginica
6.30,3.23,5.38,1.73,virginica
8.07,3.03,6.97,2.12,virginica
6.53,3.42,6.40,2.20,virginica
6.61,3.25,5.86,2.21,virginica
5.45,2.59,5.02,2.07,virginica
5.87,2.92,5.13,1.84,virginica
6.72,3.06,5.27,2.25,virginica
7.01,3.12,5.51,2.06,virginica
6.92,2.83,5.58,1.81,virginica
5.68,3.00,5.08,1.91,virginica
6.77,3.15,5.34,2.29,virginica
7.10,3.13,5.76,2.29,virginica
5.78,2.98,4.79,2.09,virginica
6.91,3.43,6.43,2.40,virginica
8.22,2.74,6.68,2.21,virginica
7.15,2.89,6.05,2.13,virginica
6.20,2.63,5.41,2.39,virginica
5.90,2.83,5.24,2.08,virginica
6.72,2.87,6.26,2.08,virginica
7.57,3.63,6.95,2.42,virginica
8.25,3.40,6.15,2.33,virginica
6.32,3.24,6.26,2.44,virginica
6.41,3.48,5.85,2.57,virginica
7.63,3.06,6.88,2.33,virginica
7.28,3.12,6.57,1.92,virginica
6.48,3.18,5.33,2.03,virginica
6.09,2.67,4.93,1.70,virginica
6.31,2.38,5.28,1.92,virginica
5.59,2.70,4.82,2.03,virginica
7.54,3.21,5.87,2.52,virginica
7.74,2.67,6.04,2.03,virginica
6.64,3.21,5.28,1.91,virginica
5.92,3.07,5.21,2.11,virginica
6.86,3.36,6.03,2.54,virginica
6.24,3.03,5.44,1.70,virginica
7.11,3.20,5.45,2.07,virginica
6.82,3.28,5.44,2.46,virginica
6.22,2.75,6.12,2.13,virginica
6.09,2.73,5.33,2.09,virginica
6.66,2.97,5.78,2.10,virginica
7.10,3.56,5.91,2.61,virginica
6.26,2.81,4.83,1.77,virginica
6.94,3.26,5.34,2.15,virginica
7.05,2.99,6.56,1.76,virginica
7.11,2.90,6.07,1.68,virginica
7.77,3.17,6.04,2.16,virginica
6.64,2.84,5.69,1.97,virginica
6.89,3.27,5.82,2.08,virginica
7.76,2.77,6.51,2.02,virginica
6.70,3.26,5.64,2.54,virginica
7.52,3.03,6.63,1.93,virginica
7.02,2.88,5.57,2.25,virginica
6.11,2.98,5.17,1.97,virginica
6.50,2.96,5.47,1.73,virginica
5.87,2.99,5.40,2.45,virginica
6.37,3.04,5.67,2.04,virginica
6.95,3.38,6.27,1.81,virginica
5.93,2.99,5.07,1.91,virginica
6.09,2.84,5.40,2.03,virginica
7.21,3.72,6.58,2.31,virginica
6.17,3.12,4.86,1.84,virginica
7.15,3.49,5.41,2.54,virginica
6.22,3.27,5.44,2.15,virginica
7.11,2.83,6.16,1.72,virginica
